Fecha,Prediccion_NN
2014-12-23,930.23395
2014-12-24,937.056
2014-12-25,943.8783
2014-12-26,950.7005
2014-12-27,957.52264
2014-12-28,964.3449
2014-12-29,971.16705
2014-12-30,977.9892
2014-12-31,984.81134
2015-01-01,733.5101
2015-01-02,739.0157
2015-01-03,744.7504
2015-01-04,750.78357
2015-01-05,756.9508
2015-01-06,763.25024
2015-01-07,769.7218
2015-01-08,776.53436
2015-01-09,783.3471
2015-01-10,790.1603
2015-01-11,796.9735
2015-01-12,803.7886
2015-01-13,810.6129
2015-01-14,817.4372
2015-01-15,824.26166
2015-01-16,831.0861
2015-01-17,837.91046
2015-01-18,844.735
2015-01-19,851.5595
2015-01-20,858.3842
2015-01-21,865.20905
2015-01-22,872.0339
2015-01-23,878.8582
2015-01-24,885.68256
2015-01-25,892.5065
2015-01-26,899.3289
2015-01-27,906.1513
2015-01-28,912.9734
2015-01-29,919.7957
2015-01-30,926.61786
2015-01-31,933.44
2015-02-01,737.33246
2015-02-02,742.9905
2015-02-03,748.86725
2015-02-04,755.0346
2015-02-05,761.26764
2015-02-06,767.6639
2015-02-07,774.4179
2015-02-08,781.23065
2015-02-09,788.0435
2015-02-10,794.8568
2015-02-11,801.67017
2015-02-12,808.4925
2015-02-13,815.3168
2015-02-14,822.1412
2015-02-15,828.96564
2015-02-16,835.79004
2015-02-17,842.6145
2015-02-18,849.439
2015-02-19,856.2636
2015-02-20,863.08844
2015-02-21,869.9131
2015-02-22,876.73773
2015-02-23,883.5621
2015-02-24,890.3863
2015-02-25,897.20917
2015-02-26,904.0315
2015-02-27,910.8537
2015-02-28,917.67596
2015-03-01,741.23346
2015-03-02,747.03546
2015-03-03,753.11847
2015-03-04,759.2852
2015-03-05,765.6469
2015-03-06,772.30145
2015-03-07,779.11414
2015-03-08,785.9268
2015-03-09,792.74
